Task 0, from cli 0, frame is 0, time: 1.534404
Task 6, from cli 0, frame is 0, time: 3.576058
Task 8, from cli 0, frame is 0, time: 5.608544
Task 10, from cli 0, frame is 0, time: 7.306016
Task 12, from cli 0, frame is 0, time: 9.342385
Task 14, from cli 0, frame is 0, time: 10.718403
Task 16, from cli 0, frame is 0, time: 12.756121
Task 20, from cli 0, frame is 0, time: 13.832262
Task 22, from cli 0, frame is 0, time: 15.196869
Task 24, from cli 0, frame is 0, time: 16.052045
Task 1, from cli 0, frame is 0, time: 17.737110
Task 3, from cli 0, frame is 0, time: 19.450841
Task 7, from cli 0, frame is 0, time: 19.752490
Task 9, from cli 0, frame is 0, time: 20.013083
Task 11, from cli 0, frame is 0, time: 20.311782
Task 13, from cli 0, frame is 0, time: 22.369007
Task 15, from cli 0, frame is 0, time: 22.699656
Task 17, from cli 0, frame is 0, time: 24.760434
Task 21, from cli 0, frame is 0, time: 25.014363
Task 23, from cli 0, frame is 0, time: 26.379750
Task 0, from cli 0, frame is 1, time: 27.878034
Task 2, from cli 0, frame is 1, time: 29.574166
Task 4, from cli 0, frame is 1, time: 30.647071
Task 6, from cli 0, frame is 1, time: 32.679485
Task 8, from cli 0, frame is 1, time: 34.710026
Task 10, from cli 0, frame is 1, time: 36.450515
Task 14, from cli 0, frame is 1, time: 37.823271
Task 16, from cli 0, frame is 1, time: 39.897408
Task 20, from cli 0, frame is 1, time: 40.946865
Task 22, from cli 0, frame is 1, time: 42.328652
Task 24, from cli 0, frame is 1, time: 43.181482
Task 1, from cli 0, frame is 1, time: 43.506333
Task 3, from cli 0, frame is 1, time: 43.832355
Task 5, from cli 0, frame is 1, time: 44.158042
Task 7, from cli 0, frame is 1, time: 46.183273
Task 9, from cli 0, frame is 1, time: 46.437213
Task 11, from cli 0, frame is 1, time: 48.464655
Task 13, from cli 0, frame is 1, time: 50.491776
Task 15, from cli 0, frame is 1, time: 50.817194
Task 17, from cli 0, frame is 1, time: 52.837818
Task 19, from cli 0, frame is 1, time: 54.201010
Task 21, from cli 0, frame is 1, time: 54.453818
Task 23, from cli 0, frame is 1, time: 55.812096
Task 0, from cli 0, frame is 2, time: 57.181072
Task 2, from cli 0, frame is 2, time: 58.912657
Task 4, from cli 0, frame is 2, time: 59.971151
Task 8, from cli 0, frame is 2, time: 62.042529
Task 12, from cli 0, frame is 2, time: 64.076816
Task 14, from cli 0, frame is 2, time: 65.472932
Task 16, from cli 0, frame is 2, time: 67.506294
Task 18, from cli 0, frame is 2, time: 69.536384
Task 20, from cli 0, frame is 2, time: 70.592899
Task 22, from cli 0, frame is 2, time: 71.958777
Task 24, from cli 0, frame is 2, time: 72.809292
Task 1, from cli 0, frame is 2, time: 74.502852
Task 3, from cli 0, frame is 2, time: 74.828522
Task 5, from cli 0, frame is 2, time: 76.526474
Task 7, from cli 0, frame is 2, time: 78.560009
Task 11, from cli 0, frame is 2, time: 80.615921
Task 13, from cli 0, frame is 2, time: 80.914401
Task 15, from cli 0, frame is 2, time: 81.249198
Task 19, from cli 0, frame is 2, time: 81.503799
Task 21, from cli 0, frame is 2, time: 81.756673
